,,,,,,,Flood Characteristics,,,,Impact Category,,,Area,,,,,,,,,,
171,M171,1898,March,0,,,,,,MET,,,,,,,,,,,,,,
172,M172,1898,April,0,,,,,,MET,,,,,,,,,,,,,,
173,M173,1898,May,0,,,,,,MET,,,,,,,,,,,,,,
174,M174,1898,June,0,,,,,,MET,,,,,,,,,,,,,,
175,M175,1898,July,0,,,,,,MET,,,,,,,,,,,,,,
176,M176,1898,August,0,,,,,,MET,,,,,,,,,,,,,,
177,M177,1898,September,0,,,,,,MET,,,,,,,,,,,,,,
178,M178,1898,October,0,,,,,,MET,,,,,,,,,,,,,,
179,M179,1898,November,0,Lake District,Serious,Heavy Rainfall,T,1,MET,,,1,1,,,,,1,,,,,
180,M180,1898,December,0,,,,,,MET,,,,,,,,,,,,,,
181,M181,1899,January,0,Wales,Serious,Rainfall,T,1,MET,,,1,,,1,,,,,,,,
182,M182,1899,February,0,,,,,,MET,,,,,,,,,,,,,,
183,M183,1899,March,0,,,,,,MET,,,,,,,,,,,,,,
184,M184,1899,April,0,,,,,,MET,,,,,,,,,,,,,,
185,M185,1899,May,0,,,,,,MET,,,,,,,,,,,,,,
186,M186,1899,June,0,,,,,,MET,,,,,,,,,,,,,,
187,M187,1899,July,0,,,,,,MET,,,,,,,,,,,,,,
188,M188,1899,August,0,,,,,,MET,,,,,,,,,,,,,,
189,M189,1899,September,0,,,,,,MET,,,,,,,,,,,,,,
190,M190,1899,October,0,,,,,,MET,,,,,,,,,,,,,,
191,M191,1899,November,0,,,,,,MET,,,,,,,,,,,,,,
192,M192,1899,December,0,,,,,,MET,,,,,,,,,,,,,,
193,M193,1900,January,0,,,,,,MET,,,,,,,,,,,,,,
194,M194,1900,February,0,,,,,,MET,,,,,,,,,,,,,,
195,M195,1900,March,0,,,,,,MET,,,,,,,,,,,,,,
196,M196,1900,April,0,,,,,,MET,,,,,,,,,,,,,,
197,M197,1900,May,0,,,,,,MET,,,,,,,,,,,,,,
198,M198,1900,June,0,,,,,,MET,,,,,,,,,,,,,,
199,M199,1900,July,0,,,,,,MET,,,,,,,,,,,,,,
200,M200,1900,August,0,,,,,,MET,,,,,,,,,,,,,,
201,M201,1900,September,0,,,,,,MET,,,,,,,,,,,,,,
202,M202,1900,October,0,Durham & Northumberland,Disastrous,Heavy Rainfall,T,1,MET,,,1,1,,,,1,,,,,,
203,M203,1900,November,0,,,,,,MET,,,,,,,,,,,,,,
204,M204,1900,December,0,,,,,,MET,,,,,,,,,,,,,,
205,M205,1901,January,0,,,,,,MET,,,,,,,,,,,,,,
206,M206,1901,February,0,,,,,,MET,,,,,,,,,,,,,,
207,M207,1901,March,0,,,,,,MET,,,,,,,,,,,,,,
208,M208,1901,April,0,,,,,,MET,,,,,,,,,,,,,,
209,M209,1901,May,0,,,,,,MET,,,,,,,,,,,,,,
210,M210,1901,June,0,,,,,,MET,,,,,,,,,,,,,,
211,M211,1901,July,0,,,,,,MET,,,,,,,,,,,,,,
212,M212,1901,August,0,,,,,,MET,,,,,,,,,,,,,,
213,M213,1901,September,0,,,,,,MET,,,,,,,,,,,,,,
214,M214,1901,October,0,,,,,,MET,,,,,,,,,,,,,,
215,M215,1901,November,0,,,,,,MET,,,,,,,,,,,,,,
216,M216,1901,December,0,,,,,,MET,,,,,,,,,,,,,,
217,M217,1902,January,0,,,,,,MET,,,,,,,,,,,,,,
218,M218,1902,February,0,,,,,,MET,,,,,,,,,,,,,,
219,M219,1902,March,0,,,,,,MET,,,,,,,,,,,,,,
220,M220,1902,April,0,,,,,,MET,,,,,,,,,,,,,,
221,M221,1902,May,0,,,,,,MET,,,,,,,,,,,,,,
222,M222,1902,June,0,,,,,,MET,,,,,,,,,,,,,,
223,M223,1902,July,0,,,,,,MET,,,,,,,,,,,,,,
224,M224,1902,August,0,,,,,,MET,,,,,,,,,,,,,,
225,M225,1902,September,0,,,,,,MET,,,,,,,,,,,,,,
226,M226,1902,October,0,,,,,,MET,,,,,,,,,,,,,,
227,M227,1902,November,0,,,,,,MET,,,,,,,,,,,,,,
228,M228,1902,December,0,,,,,,MET,,,,,,,,,,,,,,
229,M229,1903,January,0,,,,,,MET,,,,,,,,,,,,,,
230,M230,1903,February,0,,,,,,MET,,,,,,,,,,,,,,
231,M231,1903,March,0,,,,,,MET,,,,,,,,,,,,,,
232,M232,1903,April,0,,,,,,MET,,,,,,,,,,,,,,
233,M233,1903,May,0,,,,,,MET,,,,,,,,,,,,,,
234,M234,1903,June,0,,,,,,MET,,,,,,,,,,,,,,
235,M235,1903,July,0,,,,,,MET,,,,,,,,,,,,,,
236,M236,1903,August,0,,,,,,MET,,,,,,,,,,,,,,
237,M237,1903,September,0,,,,,,MET,,,,,,,,,,,,,,
238,M238,1903,October,0,,,,,,MET,,,,,,,,,,,,,,
239,M239,1903,November,0,,,,,,MET,,,,,,,,,,,,,,
240,M240,1903,December,0,,,,,,MET,,,,,,,,,,,,,,
241,M241,1904,January,0,,,,,,MET,,,,,,,,,,,,,,
242,M242,1904,February,0,"""Mainly"" Southern England",Disastrous,Very wet spell,T,1,MET,1,,,1,,,,,,,,1,1,
243,M243,1904,March,0,,,,,,MET,,,1,,,,,,,,,,,
244,M244,1904,April,0,,,,,,MET,,,,,,,,,,,,,,
245,M245,1904,May,0,,,,,,MET,,,,,,,,,,,,,,
246,M246,1904,June,0,,,,,,MET,,,,,,,,,,,,,,
247,M247,1904,July,0,,,,,,MET,,,,,,,,,,,,,,
248,M248,1904,August,0,,,,,,MET,,,,,,,,,,,,,,
249,M249,1904,September,0,,,,,,MET,,,,,,,,,,,,,,
250,M250,1904,October,0,,,,,,MET,,,,,,,,,,,,,,
251,M251,1904,November,0,,,,,,MET,,,,,,,,,,,,,,
252,M252,1904,December,0,,,,,,MET,,,,,,,,,,,,,,
253,M253,1905,January,0,Eastern coast of England,Much destruction,"""Unusually"" high Tide",C,1,MET,1,,,1,1,,,1,,,,1,,
254,M254,1905,February,0,,,,,,MET,,,,,,,,,,,,,,
255,M255,1905,March,0,,,,,,MET,,,,,,,,,,,,,,
256,M256,1905,April,0,,,,,,MET,,,,,,,,,,,,,,
257,M257,1905,May,0,,,,,,MET,,,,,,,,,,,,,,
258,M258,1905,June,0,,,,,,MET,,,,,,,,,,,,,,
259,M259,1905,July,0,,,,,,MET,,,,,,,,,,,,,,
260,M260,1905,August,0,,,,,,MET,,,,,,,,,,,,,,
261,M261,1905,September,0,,,,,,MET,,,,,,,,,,,,,,
262,M262,1905,October,0,,,,,,MET,,,,,,,,,,,,,,
263,M263,1905,November,0,,,,,,MET,,,,,,,,,,,,,,
264,M264,1905,December,0,,,,,,MET,,,,,,,,,,,,,,
265,M265,1906,January,0,,,,,,MET,,,,,,,,,,,,,,
266,M266,1906,February,0,,,,,,MET,,,,,,,,,,,,,,
267,M267,1906,March,0,Western Scotland,Serious & destructive,Snow melt,T,1,MET,,,1,,,,,,,,1,,,
268,M268,1906,March,0,Eastern British coasts,Considerable damage,Abnormally High tide,C,1,MET,1,,,1,1,,,1,,,1,1,,
269,M269,1906,April,0,,,,,,MET,,,,,,,,,,,,,,
270,M270,1906,May,0,,,,,,MET,,,,,,,,,,,,,,
271,M271,1906,June,0,,,,,,MET,,,,,,,,,,,,,,
272,M272,1906,July,0,,,,,,MET,,,,,,,,,,,,,,
273,M273,1906,August,0,,,,,,MET,,,,,,,,,,,,,,
274,M274,1906,September,0,,,,,,MET,,,,,,,,,,,,,,
275,M275,1906,October,0,,,,,,MET,,,,,,,,,,,,,,
276,M276,1906,November,0,,,,,,MET,,,,,,,,,,,,,,
277,M277,1906,December,0,,,,,,MET,,,,,,,,,,,,,,
278,M278,1907,January,0,,,,,,MET,,,,,,,,,,,,,,
279,M279,1907,February,0,,,,,,MET,,,,,,,,,,,,,,
280,M280,1907,March,0,Morecambe Bay & other portions of the Irish sea coasts,Considerable damage,High Tides & Heavy Rainfall,T/C,1,MET,1,,,1,,,,,1,1,1,,,
281,M281,1907,April,0,,,,,,MET,,,,,,,,,,,,,,
282,M282,1907,May,0,,,,,,MET,,,,,,,,,,,,,,
283,M283,1907,June,0,,,,,,MET,,,,,,,,,,,,,,
284,M284,1907,July,0,,,,,,MET,,,,,,,,,,,,,,
285,M285,1907,August,0,,,,,,MET,,,,,,,,,,,,,,
286,M286,1907,September,0,,,,,,MET,,,,,,,,,,,,,,
287,M287,1907,October,0,,,,,,MET,,,,,,,,,,,,,,
288,M288,1907,November,0,,,,,,MET,,,,,,,,,,,,,,
289,M289,1907,December,0,,,,,,MET,,,,,,,,,,,,,,
290,M290,1908,January,0,,,,,,MET,,,,,,,,,,,,,,
291,M291,1908,February,0,,,,,,MET,,,,,,,,,,,,,,
292,M292,1908,March,0,,,,,,MET,,,,,,,,,,,,,,
293,M293,1908,April,0,Thames Valley,Heavy floods,Rapid Snowmelt,T,1,MET,1,,,1,,,,,,,,1,,
294,M294,1908,May,0,,,,,,MET,,,,,,,,,,,,,,
295,M295,1908,June,0,,,,,,MET,,,,,,,,,,,,,,
296,M296,1908,July,0,,,,,,MET,,,,,,,,,,,,,,
297,M297,1908,August,0,,,,,,MET,,,,,,,,,,,,,,
298,M298,1908,September,0,Canterbury,Streets & houses flooded,Thunderstorm,T,1,MET,1,,,1,,,,,,,,1,,
299,M299,1908,October,0,,,,,,MET,,,,,,,,,,,,,,
300,M300,1908,November,0,,,,,,MET,,,,,,,,,,,,,,
301,M301,1908,December,0,,,,,,MET,,,,,,,,,,,,,,
302,M302,1909,January,0,Scotland,Considerable damage & losses,Heavy Rainfall & Snowfall,T,1,MET,1,,,,,,,,,1,1,,,
303,M303,1909,February,0,Uldale (Cumbria),Great flood,Heavy Rainfall,T,1,MET,1,,,1,,,,,1,,,,,
304,M304,1909,March,0,,,,,,MET,,,,,,,,,,,,,,
305,M305,1909,April,0,,,,,,MET,,,,,,,,,,,,,,
306,M306,1909,May,0,,,,,,MET,,,,,,,,,,,,,,
307,M307,1909,June,0,,,,,,MET,,,,,,,,,,,,,,
308,M308,1909,July,0,,,,,,MET,,,,,,,,,,,,,,
309,M309,1909,August,0,,,,,,MET,,,,,,,,,,,,,,
310,M310,1909,September,0,Kirkwall (Orkney),Severe with loss of life,Thunderstorm,T,1,MET,,1,,,,,,,,,1,,,
311,M311,1909,October,0,,,,,,MET,,,,,,,,,,,,,,
312,M312,1909,November,0,,,,,,MET,,,,,,,,,,,,,,
313,M313,1909,December,0,Uldale (Cumbria),,Heavy Rainfall,T,1,MET,1,,,1,,,,,1,,,,,
314,M314,1910,January,0,,,,,,MET,,,,,,,,,,,,,,
315,M315,1910,February,0,,,,,,MET,,,,,,,,,,,,,,
316,M316,1910,March,0,,,,,,MET,,,,,,,,,,,,,,
317,M317,1910,April,0,,,,,,MET,,,,,,,,,,,,,,
318,M318,1910,May,0,,,,,,MET,,,,,,,,,,,,,,
319,M319,1910,June,0,,,,,,MET,,,,,,,,,,,,,,
320,M320,1910,July,0,,,,,,MET,,,,,,,,,,,,,,
321,M321,1910,August,0,,,,,,MET,,,,,,,,,,,,,,
322,M322,1910,September,0,Epsom (Surrey),Extensive flooding,Thunderstorm & dry ground,T,1,MET,1,,,1,,,,,,,,1,,
323,M323,1910,October,0,,,,,,MET,,,,,,,,,,,,,,
324,M324,1910,November,0,,,,,,MET,,,,,,,,,,,,,,
325,M325,1910,December,0,Many of the Inland counties,Extensive floods,Heavy Rainfall,T,1,MET,1,,,1,,,1,,,,,,,
326,M326,1911,January,0,,,,,,MET,,,,,,,,,,,,,,
327,M327,1911,February,0,,,,,,MET,,,,,,,,,,,,,,
328,M328,1911,March,0,,,,,,MET,,,,,,,,,,,,,,
329,M329,1911,April,0,,,,,,MET,,,,,,,,,,,,,,
330,M330,1911,May,0,Upwey (Dorset),Much damage,Rainfall,T,1,MET,1,,,1,,,,,,,,,1,
331,M331,1911,June,0,,,,,,MET,,,,,,,,,,,,,,
332,M332,1911,July,0,,,,,,MET,,,,,,,,,,,,,,
333,M333,1911,August,0,,,,,,MET,,,,,,,,,,,,,,
334,M334,1911,September,0,,,,,,MET,,,,,,,,,,,,,,
335,M335,1911,October,0,Ardross (Scotland),Excessive flood,Storm,T,1,MET,1,,,,,,,,,,1,,,
336,M336,1911,November,0,,,,,,MET,,,,,,,,,,,,,,
337,M337,1911,December,0,Uldale (Cumbria),,Heavy Rainfall,T,1,MET,1,,,1,,,,,1,,,,,
338,M338,1911,December,0,Southern Wales & Thames Valley & others,Disastrous,Heavy Rainfall,T,1,MET,,,1,1,,1,,,,,,1,,
339,M339,1912,January,0,Frome Valley (Herefordshire) & Nene Valley (Northamptonshire) & Thames Valley,Serious floods,Rainfall,T,1,MET,,,1,1,,,1,,,,,1,,
340,M340,1912,February,0,,,,,,MET,,,,,,,,,,,,,,
341,M341,1912,March,0,,,,,,MET,,,,,,,,,,,,,,
342,M342,1912,April,0,,,,,,MET,,,,,,,,,,,,,,
343,M343,1912,May,0,,,,,,MET,,,,,,,,,,,,,,
344,M344,1912,June,0,,,,,,MET,,,,,,,,,,,,,,
345,M345,1912,July,0,Snowdonia (Wales) & Uldale (Cumbria) & Leyland (Lancashire),,Rainstorms,T,1,MET,1,,,1,,1,,,1,,,,,
346,M346,1912,August,0,Greenock (Scotland),Disastrous floods,Thunderstorms,T,1,MET,,,1,,,,,,,,1,,,
347,M347,1912,August,0,Norwich,Great severity with some loss of life,Excessively Heavy Rainfall,T,1,MET,,,1,1,1,,,,,,,,,
348,M348,1912,September,0,,,,,,MET,,,,,,,,,,,,,,
349,M349,1912,October,0,,,,,,MET,,,,,,,,,,,,,,
350,M350,1912,November,0,,,,,,MET,,,,,,,,,,,,,,
351,M351,1912,December,0,Frome Valley (Herefordshire) & Nene Valley (Northamptonshire) & Thames Valley,,Frequent Rainfall,T,1,MET,1,,,1,,,1,,,,,1,,
352,M352,1913,January,0,,,,,,MET,,,,,,,,,,,,,,
353,M353,1913,February,0,,,,,,MET,,,,,,,,,,,,,,
354,M354,1913,March,0,,,,,,MET,,,,,,,,,,,,,,
355,M355,1913,April,0,,,,,,MET,,,,,,,,,,,,,,
356,M356,1913,May,0,,,,,,MET,,,,,,,,,,,,,,
357,M357,1913,June,0,,,,,,MET,,,,,,,,,,,,,,
358,M358,1913,July,0,,,,,,MET,,,,,,,,,,,,,,
359,M359,1913,August,0,,,,,,MET,,,,,,,,,,,,,,
360,M360,1913,September,0,,,,,,MET,,,,,,,,,,,,,,
361,M361,1913,October,0,,,,,,MET,,,,,,,,,,,,,,
362,M362,1913,November,0,,,,,,MET,,,,,,,,,,,,,,
363,M363,1913,December,0,,,,,,MET,,,,,,,,,,,,,,
364,M364,1914,January,0,,,,,,MET,,,,,,,,,,,,,,
365,M365,1914,February,0,Wisley (Thames),,Rainfall,T,1,MET,1,,,1,,,,,,,,1,,
366,M366,1914,March,0,Thames Valley,Rather Serious floods,Rainfall,T,1,MET,,,1,1,,,,,,,,1,,
367,M367,1914,April,0,,,,,,MET,,,,,,,,,,,,,,
368,M368,1914,May,0,,,,,,MET,,,,,,,,,,,,,,
369,M369,1914,June,0,,,,,,MET,,,,,,,,,,,,,,
370,M370,1914,July,0,,,,,,MET,,,,,,,,,,,,,,
371,M371,1914,August,0,,,,,,MET,,,,,,,,,,,,,,
372,M372,1914,September,0,,,,,,MET,,,,,,,,,,,,,,
373,M373,1914,October,0,,,,,,MET,,,,,,,,,,,,,,
374,M374,1914,November,0,Aberfeldy (Scotland),,Rainfall,T,1,MET,1,,,,,,,,,,1,,,
375,M375,1914,November,0,Pen-y-Gwryd (Wales),,Rainfall,T,1,MET,1,,,,,1,,,,,,,,
