policy_tenure,age_of_car,age_of_policyholder,area_cluster,population_density,make,segment,model,ncap_rating,is_parking_sensors,target
41,16,36,17,34738,5,3,10,4,1,0
100,46,35,20,8794,4,2,6,5,1,0
45,12,30,2,6108,1,0,0,0,1,0
67,58,34,20,8794,3,4,5,3,1,0
0,33,25,11,27003,3,4,5,3,1,0
19,12,65,21,17804,1,0,0,0,1,0
91,37,44,5,7788,3,4,5,3,1,0
45,12,56,1,73430,1,0,0,0,1,0
2,8,32,21,17804,5,3,10,4,1,0
35,71,24,5,7788,1,1,9,2,1,0
19,0,23,19,6112,1,0,0,0,1,0
4,0,39,20,8794,1,2,7,2,1,0
8,12,25,17,34738,3,4,5,3,1,0
101,54,39,20,8794,1,1,9,2,1,0
83,42,27,15,4076,1,5,1,0,1,0
19,16,29,9,35036,1,0,0,0,1,0
1,12,28,4,5410,1,2,7,2,1,0
20,37,51,4,5410,1,2,7,2,1,0
30,21,42,11,27003,3,4,5,3,1,0
34,16,33,15,4076,1,0,0,0,1,0
86,67,36,20,8794,1,1,9,2,1,0
7,21,41,20,8794,1,1,9,2,1,0
10,4,33,11,27003,1,0,0,0,1,0
58,71,37,20,8794,1,2,7,2,1,0
97,46,39,20,8794,1,0,0,0,1,1
25,42,28,5,7788,1,2,7,2,1,0
33,63,29,17,34738,1,2,7,2,1,1
7,29,32,17,34738,1,2,7,2,1,0
85,42,44,5,7788,4,2,6,5,1,1
49,21,51,17,34738,1,0,0,0,1,0
25,4,30,17,34738,1,0,0,0,1,0
85,63,32,20,8794,3,4,5,3,1,0
34,63,27,20,8794,1,2,7,2,1,0
86,58,38,2,6108,1,2,8,0,1,0
103,50,27,20,8794,1,2,7,2,1,0
20,0,23,15,4076,1,0,0,0,1,0
6,37,42,20,8794,1,2,8,0,1,0
40,0,23,16,21622,1,0,0,0,1,0
78,71,38,20,8794,3,4,5,3,1,0
7,21,24,21,17804,1,2,7,2,1,0
96,33,32,4,5410,1,2,7,2,1,0
48,21,51,0,4990,1,0,0,0,1,0
94,12,50,5,7788,1,2,8,0,1,0
0,0,23,1,73430,1,0,0,0,1,1
94,46,23,4,5410,1,2,8,0,1,0
94,46,30,11,27003,1,3,3,2,1,0
52,46,45,20,8794,1,2,7,2,1,0
95,46,31,20,8794,3,4,5,3,1,0
85,37,53,2,6108,1,2,7,2,1,0
102,88,35,20,8794,1,2,8,0,1,0
95,67,35,15,4076,3,4,5,3,1,0
11,25,36,19,6112,1,0,0,0,1,0
45,4,53,20,8794,1,2,7,2,1,0
5,46,30,20,8794,3,4,5,3,1,0
93,67,30,5,7788,4,2,6,5,1,0
99,16,33,1,73430,1,0,0,0,1,1
103,8,54,11,27003,1,2,7,2,1,0
19,4,27,21,17804,1,0,0,0,1,0
68,12,39,10,27742,2,0,4,2,0,0
27,63,23,17,34738,1,2,7,2,1,0
22,37,31,20,8794,1,2,7,2,1,0
95,21,25,11,27003,2,0,4,2,0,0
42,67,30,17,34738,1,3,3,2,1,0
26,4,30,5,7788,1,0,0,0,1,0
22,25,25,12,20905,1,0,0,0,1,0
29,67,35,20,8794,1,1,9,2,1,0
37,63,28,5,7788,1,1,9,2,1,0
5,8,37,11,27003,1,0,0,0,1,0
27,33,25,11,27003,1,3,3,2,1,0
56,25,27,11,27003,4,2,6,5,1,1
11,0,29,0,4990,1,0,0,0,1,0
103,37,44,20,8794,3,4,5,3,1,0
7,25,32,7,16206,1,0,0,0,1,0
52,12,38,0,4990,1,0,0,0,1,0
98,33,26,16,21622,1,1,9,2,1,0
71,42,44,11,27003,1,2,7,2,1,0
1,0,55,21,17804,1,0,0,0,1,0
15,29,26,15,4076,1,2,8,0,1,0
79,29,26,19,6112,3,4,5,3,1,0
53,0,30,20,8794,3,4,5,3,1,0
86,37,27,21,17804,5,3,10,4,1,0
34,84,41,17,34738,4,3,2,5,1,0
6,4,45,21,17804,1,0,0,0,1,0
87,50,54,2,6108,1,1,9,2,1,0
32,12,38,17,34738,1,0,0,0,1,0
71,21,31,20,8794,1,2,7,2,1,0
0,54,35,17,34738,1,2,8,0,1,0
11,12,33,15,4076,1,0,0,0,1,0
22,58,39,20,8794,5,3,10,4,1,0
98,8,39,21,17804,5,3,10,4,1,0
26,4,27,17,34738,1,0,0,0,1,0
92,16,56,20,8794,3,4,5,3,1,0
44,12,43,21,17804,1,2,7,2,1,0
10,0,30,15,4076,1,0,0,0,1,1
81,8,46,15,4076,1,0,0,0,1,0
97,42,36,5,7788,1,3,3,2,1,0
103,50,32,2,6108,1,2,8,0,1,0
11,121,23,11,27003,3,4,5,3,1,0
18,0,33,4,5410,1,0,0,0,1,0
29,8,56,0,4990,1,1,9,2,1,0
97,8,65,0,4990,1,2,7,2,1,0
48,42,45,3,34791,5,3,10,4,1,0
17,25,31,15,4076,1,0,0,0,1,0
40,4,23,15,4076,1,0,0,0,1,0
79,8,38,1,73430,1,0,0,0,1,0
45,8,40,16,21622,1,0,0,0,1,0
53,4,25,1,73430,1,0,0,0,1,0
65,54,36,17,34738,3,4,5,3,1,0
43,37,38,1,73430,1,1,9,2,1,1
21,25,23,5,7788,1,2,7,2,1,1
15,12,34,21,17804,1,3,3,2,1,1
65,0,34,1,73430,1,0,0,0,1,0
24,33,32,20,8794,1,2,7,2,1,0
78,50,37,5,7788,1,2,7,2,1,0
101,8,46,21,17804,1,2,7,2,1,0
46,8,35,11,27003,4,2,6,5,1,0
29,12,64,21,17804,1,0,0,0,1,0
50,46,28,17,34738,3,4,5,3,1,0
72,29,51,11,27003,1,2,7,2,1,0
58,117,55,20,8794,3,4,5,3,1,0
98,58,36,4,5410,3,4,5,3,1,0
18,50,63,21,17804,1,2,7,2,1,1
91,21,27,1,73430,1,0,0,0,1,1
86,46,28,11,27003,1,2,7,2,1,0
88,42,46,11,27003,3,4,5,3,1,0
32,63,34,2,6108,1,5,1,0,1,0
87,21,34,20,8794,1,1,9,2,1,0
3,42,25,17,34738,1,1,9,2,1,0
101,46,40,20,8794,1,1,9,2,1,0
52,50,32,11,27003,1,1,9,2,1,0
63,71,30,20,8794,1,2,7,2,1,0
3,0,45,4,5410,1,1,9,2,1,0
4,12,43,9,35036,1,0,0,0,1,0
89,63,37,17,34738,3,4,5,3,1,0
89,37,38,11,27003,2,0,4,2,0,0
60,0,63,21,17804,1,0,0,0,1,0
102,58,26,4,5410,3,4,5,3,1,0
96,8,66,16,21622,3,4,5,3,1,0
87,4,30,2,6108,1,0,0,0,1,0
16,0,41,17,34738,1,0,0,0,1,1
76,12,47,11,27003,1,1,9,2,1,0
69,33,27,4,5410,1,2,7,2,1,0
8,71,25,11,27003,1,2,7,2,1,0
94,21,26,5,7788,3,4,5,3,1,0
79,8,41,1,73430,1,0,0,0,1,0
0,0,52,17,34738,1,0,0,0,1,0
86,4,23,7,16206,1,0,0,0,1,0
86,4,46,1,73430,3,4,5,3,1,0
23,4,42,19,6112,1,1,9,2,1,0
48,4,43,8,65567,1,0,0,0,1,0
104,58,28,4,5410,1,2,7,2,1,0
91,16,29,20,8794,1,2,7,2,1,0
73,58,40,20,8794,3,4,5,3,1,0
27,4,47,15,4076,1,0,0,0,1,0
61,33,43,11,27003,3,4,5,3,1,0
63,67,41,20,8794,1,2,7,2,1,0
36,67,29,20,8794,3,4,5,3,1,0
97,33,40,15,4076,1,2,7,2,1,0
53,21,28,18,13051,1,0,0,0,1,0
47,8,36,3,34791,1,1,9,2,1,0
103,33,46,20,8794,1,2,7,2,1,0
44,46,46,5,7788,1,2,7,2,1,0
3,16,29,7,16206,1,0,0,0,1,0
93,63,51,11,27003,5,3,10,4,1,0
95,21,27,5,7788,1,2,8,0,1,0
104,21,40,20,8794,2,0,4,2,0,0
44,63,59,20,8794,1,2,8,0,1,0
7,16,31,11,27003,4,2,6,5,1,0
1,42,23,20,8794,3,4,5,3,1,0
36,16,51,21,17804,1,0,0,0,1,0
32,16,41,15,4076,1,2,7,2,1,0
30,4,33,11,27003,3,4,5,3,1,0
6,0,26,4,5410,1,2,7,2,1,0
33,4,30,8,65567,1,0,0,0,1,0
7,50,53,15,4076,1,3,3,2,1,0
102,58,34,19,6112,1,2,7,2,1,0
48,8,43,17,34738,1,2,7,2,1,0
13,8,36,4,5410,2,0,4,2,0,0
7,8,30,16,21622,1,0,0,0,1,0
27,16,39,15,4076,1,0,0,0,1,0
10,54,39,20,8794,3,4,5,3,1,0
41,0,35,17,34738,1,1,9,2,1,0
31,58,34,21,17804,3,4,5,3,1,0
8,63,29,19,6112,2,0,4,2,0,0
17,16,29,7,16206,1,0,0,0,1,0
96,58,30,6,290,1,2,7,2,1,0
38,16,35,17,34738,1,2,7,2,1,0
70,8,43,17,34738,1,0,0,0,1,0
90,54,43,10,27742,3,4,5,3,1,0
3,12,32,20,8794,1,2,7,2,1,0
100,58,25,20,8794,1,2,7,2,1,0
74,42,26,19,6112,3,4,5,3,1,0
7,8,26,19,6112,2,0,4,2,0,0
101,50,37,20,8794,3,4,5,3,1,0
86,63,36,20,8794,1,2,7,2,1,0
103,4,46,2,6108,1,2,8,0,1,0
53,0,40,15,4076,1,0,0,0,1,0
7,0,31,4,5410,1,2,7,2,1,0
13,0,25,11,27003,1,0,0,0,1,0
40,58,28,21,17804,3,4,5,3,1,0
11,4,26,20,8794,1,0,0,0,1,0
27,8,33,15,4076,1,0,0,0,1,0
49,71,37,20,8794,1,5,1,0,1,0
101,12,43,21,17804,3,4,5,3,1,0
91,16,33,11,27003,3,4,5,3,1,0
87,12,51,20,8794,1,1,9,2,1,0
57,25,40,17,34738,1,0,0,0,1,1
64,8,40,17,34738,1,0,0,0,1,0
21,4,36,11,27003,1,0,0,0,1,0
86,46,26,17,34738,3,4,5,3,1,1
19,4,44,15,4076,1,0,0,0,1,0
3,8,26,15,4076,1,0,0,0,1,0
2,12,45,20,8794,1,2,7,2,1,0
16,58,25,20,8794,1,2,7,2,1,0
18,46,38,1,73430,1,2,7,2,1,1
10,50,24,11,27003,2,0,4,2,0,0
11,0,43,1,73430,1,0,0,0,1,0
31,4,46,0,4990,1,0,0,0,1,0
103,8,23,20,8794,5,3,10,4,1,0
35,37,28,17,34738,1,1,9,2,1,0
42,42,30,20,8794,3,4,5,3,1,1
54,4,50,15,4076,1,0,0,0,1,0
88,8,49,17,34738,1,2,7,2,1,0
23,0,34,1,73430,3,4,5,3,1,0
49,8,45,15,4076,3,4,5,3,1,0
58,54,50,17,34738,1,2,7,2,1,1
35,21,30,11,27003,1,3,3,2,1,0
24,12,33,3,34791,1,2,7,2,1,0
35,25,33,17,34738,1,0,0,0,1,0
34,12,33,20,8794,1,2,7,2,1,0
28,16,31,5,7788,1,3,3,2,1,0
96,37,49,4,5410,3,4,5,3,1,0
69,8,49,8,65567,1,0,0,0,1,0
91,16,32,11,27003,1,1,9,2,1,0
89,21,47,11,27003,1,2,7,2,1,1
10,50,40,1,73430,1,5,1,0,1,0
39,63,23,16,21622,5,3,10,4,1,0
46,16,31,15,4076,1,1,9,2,1,0
6,58,34,15,4076,1,2,8,0,1,0
98,42,26,20,8794,3,4,5,3,1,0
96,8,23,20,8794,1,2,7,2,1,0
40,33,37,17,34738,1,1,9,2,1,0
19,25,23,15,4076,1,0,0,0,1,0
94,46,36,15,4076,1,2,7,2,1,0
63,42,39,11,27003,2,0,4,2,0,0
86,54,27,6,290,1,2,7,2,1,0
3,8,38,1,73430,1,0,0,0,1,0
34,0,36,18,13051,1,0,0,0,1,1
90,16,40,20,8794,5,3,10,4,1,0
75,4,31,17,34738,3,4,5,3,1,0
20,92,31,20,8794,1,2,7,2,1,0
6,8,41,4,5410,1,2,7,2,1,0
92,151,43,20,8794,1,2,7,2,1,0
24,12,33,4,5410,3,4,5,3,1,0
63,25,35,19,6112,3,4,5,3,1,0
45,4,43,15,4076,1,0,0,0,1,0
92,29,36,11,27003,5,3,10,4,1,0
16,0,33,20,8794,1,2,7,2,1,0
93,8,53,11,27003,1,2,7,2,1,0
50,16,26,11,27003,5,3,10,4,1,0
31,8,33,11,27003,1,2,7,2,1,0
7,75,44,5,7788,1,2,8,0,1,0
51,21,35,1,73430,3,4,5,3,1,1
100,29,29,20,8794,3,4,5,3,1,1
39,12,40,17,34738,3,4,5,3,1,0
84,8,46,17,34738,1,2,7,2,1,0
12,4,40,3,34791,1,2,8,0,1,0
46,0,33,17,34738,1,0,0,0,1,0
41,50,37,20,8794,3,4,5,3,1,0
25,16,42,20,8794,1,2,8,0,1,0
73,29,39,20,8794,1,2,7,2,1,0
89,58,25,20,8794,1,2,7,2,1,0
88,63,34,20,8794,1,2,7,2,1,0
2,21,30,11,27003,1,1,9,2,1,0
69,8,49,15,4076,1,0,0,0,1,0
87,25,39,20,8794,1,2,7,2,1,0
71,21,40,20,8794,1,0,0,0,1,0
17,12,30,1,73430,1,0,0,0,1,0
87,50,47,13,3264,5,3,10,4,1,0
100,29,51,20,8794,1,2,7,2,1,0
52,42,58,15,4076,3,4,5,3,1,0
8,0,42,1,73430,1,0,0,0,1,0
46,21,39,15,4076,1,0,0,0,1,0
88,50,46,5,7788,3,4,5,3,1,0
95,21,38,6,290,3,4,5,3,1,0
51,21,27,15,4076,1,0,0,0,1,0
19,12,26,17,34738,1,0,0,0,1,0
39,0,47,20,8794,1,0,0,0,1,0
104,37,33,20,8794,5,3,10,4,1,0
8,42,24,20,8794,3,4,5,3,1,0
55,42,36,15,4076,1,0,0,0,1,0
84,50,61,20,8794,1,2,7,2,1,0
99,4,33,20,8794,4,2,6,5,1,0
94,88,40,6,290,1,5,1,0,1,0
6,25,35,4,5410,2,0,4,2,0,0
79,25,30,20,8794,1,0,0,0,1,0
50,4,27,10,27742,1,0,0,0,1,1
104,71,58,20,8794,1,2,7,2,1,0
99,46,34,3,34791,2,0,4,2,0,0
56,4,41,4,5410,1,0,0,0,1,0
4,0,29,11,27003,1,0,0,0,1,0
7,33,30,0,4990,1,3,3,2,1,0
33,16,33,15,4076,1,0,0,0,1,0
7,42,43,11,27003,1,2,7,2,1,0
7,0,34,11,27003,1,1,9,2,1,0
8,79,33,10,27742,1,0,0,0,1,0
2,0,54,1,73430,1,0,0,0,1,0
85,12,25,11,27003,3,4,5,3,1,0
77,0,54,17,34738,1,0,0,0,1,0
89,25,49,19,6112,1,2,7,2,1,0
80,0,24,15,4076,1,0,0,0,1,0
58,12,35,21,17804,1,0,0,0,1,0
64,46,36,13,3264,1,2,7,2,1,0
91,33,42,11,27003,1,2,7,2,1,0
28,21,43,5,7788,1,2,7,2,1,0
87,58,55,2,6108,1,2,7,2,1,0
93,8,45,1,73430,1,2,7,2,1,0
23,8,50,20,8794,3,4,5,3,1,0
7,29,27,0,4990,1,2,7,2,1,0
9,0,33,11,27003,1,0,0,0,1,0
87,42,34,5,7788,2,0,4,2,0,0
3,21,50,21,17804,1,0,0,0,1,0
51,16,26,11,27003,1,0,0,0,1,0
0,12,40,11,27003,1,1,9,2,1,0
83,0,42,18,13051,1,0,0,0,1,0
36,16,41,17,34738,1,0,0,0,1,0
65,88,24,20,8794,3,4,5,3,1,0
0,21,34,2,6108,5,3,10,4,1,0
92,33,33,20,8794,1,2,7,2,1,0
63,4,23,11,27003,1,0,0,0,1,0
19,54,40,5,7788,1,2,7,2,1,0
47,0,39,20,8794,1,2,7,2,1,0
27,29,37,17,34738,1,0,0,0,1,0
93,50,23,20,8794,1,3,3,2,1,0
51,4,41,6,290,1,0,0,0,1,0
70,25,29,20,8794,1,2,7,2,1,0
79,29,43,20,8794,1,2,7,2,1,0
77,8,40,11,27003,1,0,0,0,1,0
14,42,35,20,8794,1,1,9,2,1,0
86,29,41,0,4990,1,0,0,0,1,0
100,25,51,11,27003,5,3,10,4,1,0
5,0,57,11,27003,1,0,0,0,1,0
54,46,50,17,34738,3,4,5,3,1,0
10,0,26,0,4990,1,0,0,0,1,0
48,42,30,16,21622,1,2,7,2,1,0
63,79,34,15,4076,5,3,10,4,1,0
100,12,53,6,290,1,2,7,2,1,0
38,4,50,11,27003,1,0,0,0,1,0
99,37,35,11,27003,1,2,8,0,1,0
6,4,31,4,5410,1,5,1,0,1,0
49,33,25,17,34738,1,2,8,0,1,0
18,0,30,11,27003,1,0,0,0,1,0
10,12,23,15,4076,1,0,0,0,1,0
84,25,59,20,8794,1,2,7,2,1,0
51,8,30,4,5410,1,3,3,2,1,0
22,42,31,11,27003,2,0,4,2,0,0
5,33,33,4,5410,1,2,7,2,1,0
78,63,26,7,16206,1,2,7,2,1,0
52,21,46,17,34738,1,0,0,0,1,0
94,46,33,20,8794,1,2,7,2,1,0
85,21,47,20,8794,5,3,10,4,1,0
24,4,32,13,3264,1,1,9,2,1,0
3,8,40,9,35036,1,0,0,0,1,0
23,0,47,15,4076,1,0,0,0,1,0
100,29,41,5,7788,1,2,7,2,1,0
60,25,33,3,34791,1,2,7,2,1,0
84,29,46,20,8794,4,2,6,5,1,0
58,16,40,15,4076,1,2,8,0,1,0
90,16,41,20,8794,2,0,4,2,0,0
96,46,53,11,27003,3,4,5,3,1,0
7,12,29,16,21622,1,5,1,0,1,0
0,12,26,0,4990,1,0,0,0,1,0
89,79,53,20,8794,1,2,7,2,1,0
85,50,30,4,5410,1,2,8,0,1,0
15,50,33,8,65567,3,4,5,3,1,0
91,29,29,11,27003,1,2,8,0,1,0
5,29,35,20,8794,1,1,9,2,1,0
1,21,31,21,17804,1,0,0,0,1,0
86,29,30,5,7788,3,4,5,3,1,0
11,0,37,17,34738,1,0,0,0,1,0
36,16,49,19,6112,2,0,4,2,0,0
97,37,32,18,13051,1,2,7,2,1,0
3,0,46,21,17804,1,0,0,0,1,0
91,42,26,20,8794,1,2,7,2,1,0
28,16,38,11,27003,3,4,5,3,1,0
36,4,51,17,34738,1,0,0,0,1,0
68,0,58,11,27003,1,2,7,2,1,0
46,0,46,15,4076,1,0,0,0,1,0
45,4,33,14,16733,1,0,0,0,1,0
7,16,45,17,34738,1,2,7,2,1,0
61,4,36,4,5410,1,1,9,2,1,0
30,12,36,15,4076,5,3,10,4,1,0
0,33,26,15,4076,3,4,5,3,1,0
62,12,45,4,5410,1,0,0,0,1,0
35,4,56,4,5410,1,0,0,0,1,0
102,58,57,11,27003,1,2,7,2,1,0
73,4,41,15,4076,1,0,0,0,1,0
23,4,34,11,27003,3,4,5,3,1,0
104,8,56,20,8794,1,2,7,2,1,0
85,46,44,20,8794,1,2,7,2,1,0
7,4,25,17,34738,1,1,9,2,1,0
63,12,56,15,4076,1,0,0,0,1,0
56,0,28,11,27003,3,4,5,3,1,0
84,12,63,11,27003,1,2,8,0,1,0
44,12,25,17,34738,3,4,5,3,1,0
85,67,41,11,27003,3,4,5,3,1,0
11,46,37,15,4076,3,4,5,3,1,0
77,4,27,1,73430,1,0,0,0,1,0
85,4,37,20,8794,4,2,6,5,1,0
33,0,23,15,4076,1,0,0,0,1,0
66,42,25,21,17804,1,2,7,2,1,0
59,4,46,21,17804,1,0,0,0,1,0
90,16,27,11,27003,1,1,9,2,1,0
69,21,33,16,21622,1,2,7,2,1,0
67,42,24,20,8794,3,4,5,3,1,0
39,8,43,21,17804,1,0,0,0,1,0
7,37,44,20,8794,1,2,7,2,1,0
10,0,23,19,6112,1,0,0,0,1,0
80,67,42,11,27003,2,0,4,2,0,0
20,46,38,20,8794,3,4,5,3,1,0
34,16,39,20,8794,1,2,7,2,1,0
95,37,26,17,34738,1,1,9,2,1,0
19,63,23,11,27003,5,3,10,4,1,0
2,0,53,20,8794,1,0,0,0,1,0
11,75,33,15,4076,3,4,5,3,1,0
7,4,42,4,5410,1,2,7,2,1,0
73,21,35,15,4076,1,1,9,2,1,0
8,33,28,20,8794,1,2,8,0,1,0
10,33,30,18,13051,3,4,5,3,1,0
14,42,35,11,27003,1,2,7,2,1,1
85,25,38,20,8794,1,2,7,2,1,0
11,16,30,8,65567,1,0,0,0,1,0
100,58,40,10,27742,1,2,7,2,1,0
9,63,39,17,34738,1,2,7,2,1,0
71,4,46,17,34738,1,0,0,0,1,1
84,16,31,0,4990,1,1,9,2,1,0
49,16,26,20,8794,3,4,5,3,1,0
22,21,52,15,4076,1,2,8,0,1,0
88,50,30,17,34738,1,2,7,2,1,0
98,4,33,20,8794,1,2,7,2,1,0
46,8,46,0,4990,1,0,0,0,1,0
18,8,36,17,34738,2,0,4,2,0,0
22,16,29,17,34738,3,4,5,3,1,0
21,29,34,15,4076,1,1,9,2,1,0
83,63,30,5,7788,3,4,5,3,1,0
6,16,36,1,73430,1,2,7,2,1,0
87,37,36,20,8794,1,2,7,2,1,0
3,33,38,17,34738,2,0,4,2,0,0
6,8,23,15,4076,3,4,5,3,1,0
95,33,41,15,4076,3,4,5,3,1,0
100,42,34,20,8794,3,4,5,3,1,0
94,63,37,15,4076,3,4,5,3,1,0
69,75,32,21,17804,4,2,6,5,1,0
39,42,51,1,73430,3,4,5,3,1,0
17,42,26,11,27003,1,5,1,0,1,0
89,71,23,20,8794,3,4,5,3,1,0
14,16,37,20,8794,1,1,9,2,1,0
100,42,43,2,6108,1,2,7,2,1,0
86,75,26,21,17804,1,2,7,2,1,0
14,42,28,19,6112,1,2,7,2,1,0
79,25,30,19,6112,1,5,1,0,1,0
2,21,26,21,17804,1,2,7,2,1,0
92,42,38,5,7788,1,2,7,2,1,0
33,42,30,4,5410,1,2,7,2,1,0
23,46,43,20,8794,1,2,8,0,1,0
4,0,37,15,4076,1,0,0,0,1,0
35,0,29,19,6112,1,0,0,0,1,0
90,42,53,15,4076,1,0,0,0,1,0
93,4,34,1,73430,1,0,0,0,1,0
85,42,46,15,4076,3,4,5,3,1,0
24,12,43,21,17804,1,0,0,0,1,0
32,12,40,21,17804,1,0,0,0,1,0
28,0,45,15,4076,1,0,0,0,1,1
95,21,39,11,27003,4,2,6,5,1,0
96,25,59,21,17804,5,3,10,4,1,0
49,33,27,20,8794,1,1,9,2,1,0
63,42,33,1,73430,1,1,9,2,1,0
90,29,38,20,8794,1,1,9,2,1,0
74,12,46,11,27003,3,4,5,3,1,0
103,46,50,20,8794,1,3,3,2,1,0
104,42,25,5,7788,1,2,7,2,1,0
2,12,30,15,4076,1,0,0,0,1,0
33,0,23,20,8794,3,4,5,3,1,0
22,29,40,19,6112,1,2,7,2,1,0
8,33,31,18,13051,1,1,9,2,1,0
14,16,42,5,7788,2,0,4,2,0,0
61,0,53,0,4990,1,0,0,0,1,0
58,21,47,20,8794,1,2,7,2,1,0
100,4,50,3,34791,1,2,7,2,1,0
31,33,23,19,6112,5,3,10,4,1,0
100,37,23,15,4076,1,2,7,2,1,1
68,8,45,17,34738,1,0,0,0,1,0
32,0,34,16,21622,1,0,0,0,1,0
96,58,27,20,8794,1,2,7,2,1,0
86,42,40,20,8794,1,2,7,2,1,0
87,58,35,11,27003,3,4,5,3,1,0
101,88,36,3,34791,3,4,5,3,1,0
0,0,46,5,7788,1,0,0,0,1,0
101,50,64,20,8794,1,2,7,2,1,0
2,8,30,1,73430,1,1,9,2,1,0
12,63,27,20,8794,3,4,5,3,1,0
38,12,61,20,8794,1,1,9,2,1,1
0,4,52,17,34738,1,1,9,2,1,0
69,12,32,0,4990,1,0,0,0,1,0
7,8,58,15,4076,1,2,7,2,1,0
93,16,33,11,27003,3,4,5,3,1,0
30,33,27,4,5410,5,3,10,4,1,0
7,4,37,19,6112,3,4,5,3,1,0
103,54,57,4,5410,1,2,7,2,1,0
87,50,56,4,5410,1,2,7,2,1,0
60,12,41,8,65567,1,0,0,0,1,0
7,42,30,0,4990,5,3,10,4,1,0
19,29,53,17,34738,1,0,0,0,1,0
9,0,30,15,4076,1,0,0,0,1,0
73,0,63,17,34738,1,0,0,0,1,0
66,46,26,20,8794,1,2,7,2,1,0
45,0,26,15,4076,1,0,0,0,1,0
8,29,28,18,13051,1,2,7,2,1,0
24,21,26,3,34791,1,1,9,2,1,0
42,29,36,20,8794,3,4,5,3,1,0
3,63,35,17,34738,4,2,6,5,1,0
93,29,30,5,7788,1,2,7,2,1,1
15,16,60,11,27003,1,1,9,2,1,0
100,37,31,4,5410,3,4,5,3,1,0
10,67,40,20,8794,1,2,7,2,1,0
84,33,24,2,6108,2,0,4,2,0,1
8,16,27,19,6112,2,0,4,2,0,0
33,25,27,15,4076,1,0,0,0,1,0
41,4,56,18,13051,1,0,0,0,1,0
53,21,32,4,5410,5,3,10,4,1,0
90,21,60,20,8794,1,2,7,2,1,0
6,46,32,20,8794,1,1,9,2,1,0
98,33,43,4,5410,4,2,6,5,1,0
